trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
118,False,"{'a': 0.5, 'e': 0.998093868775146}",25,0,-102.08001823786155,"{0: 15, 1: 3, 2: 5, 3: 2, 4: 0}",0
119,False,"{'a': 0.5, 'e': 0.9980614350574388}",25,0,-112.00248253528862,"{0: 15, 1: 3, 2: 4, 3: 3, 4: 0}",0
120,False,"{'a': 0.5, 'e': 0.9980287279928899}",20,0,-72.09460850587952,"{0: 11, 1: 3, 2: 6, 3: 0, 4: 0}",0
121,False,"{'a': 0.5, 'e': 0.997995747590457}",30,0,-172.95892230165146,"{0: 17, 1: 5, 2: 5, 3: 1, 4: 2}",0
122,False,"{'a': 0.5, 'e': 0.9979624938591728}",25,0,-139.18582683702033,"{0: 15, 1: 4, 2: 2, 3: 3, 4: 1}",0
123,False,"{'a': 0.5, 'e': 0.9979289668081447}",20,0,-146.25513428821904,"{0: 10, 1: 3, 2: 5, 3: 0, 4: 2}",0
124,False,"{'a': 0.5, 'e': 0.997895166446555}",30,12,-49.39094321192624,"{0: 10, 1: 2, 2: 3, 3: 3, 4: 0}",1
125,False,"{'a': 0.5, 'e': 0.997861092783661}",25,0,-116.12245234268137,"{0: 16, 1: 1, 2: 7, 3: 0, 4: 1}",0
126,False,"{'a': 0.5, 'e': 0.9978267458287945}",25,0,-190.54716754700075,"{0: 11, 1: 4, 2: 7, 3: 1, 4: 2}",0
127,False,"{'a': 0.5, 'e': 0.9977921255913625}",30,0,-261.07829480989716,"{0: 17, 1: 0, 2: 8, 3: 1, 4: 4}",0
128,False,"{'a': 0.5, 'e': 0.9977572320808468}",20,0,-184.34544497313027,"{0: 14, 1: 1, 2: 0, 3: 1, 4: 4}",0
129,False,"{'a': 0.5, 'e': 0.9977220653068037}",20,10,17.28201185382199,"{0: 6, 1: 1, 2: 3, 3: 0, 4: 0}",1
130,False,"{'a': 0.5, 'e': 0.9976866252788649}",20,0,-75.9263716478686,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
131,False,"{'a': 0.5, 'e': 0.9976509120067363}",20,0,-147.51073880060994,"{0: 10, 1: 1, 2: 6, 3: 2, 4: 1}",0
132,False,"{'a': 0.5, 'e': 0.9976149255001993}",20,0,-133.35431854555068,"{0: 11, 1: 0, 2: 7, 3: 1, 4: 1}",0
133,False,"{'a': 0.5, 'e': 0.9975786657691096}",20,7,-69.24694404392957,"{0: 5, 1: 4, 2: 2, 3: 0, 4: 2}",1
134,False,"{'a': 0.5, 'e': 0.9975421328233981}",20,0,-49.12381397820499,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
